city,state,last_modified
Durham,NC,2020-12-29 23:32:00
Raleigh,NC,2020-12-27 08:27:00
Cary,NC,2020-12-27 08:27:00
Greensboro,NC,2020-12-27 08:27:00
Fayetteville,NC,2020-12-27 08:27:00
Charlotte,NC,2020-12-27 08:27:00
Minneapolis,MN,2021-01-01 13:56:00
New Hope,MN,2021-01-01 13:56:00
Maple Grove,MN,2021-01-01 13:56:00
Plymouth,MN,2021-01-01 13:56:00
Chapel Hill,NC,2021-01-06 07:20:23
Burlington,NC,2021-01-06 07:20:23
Winston-Salem,NC,2021-01-06 07:20:23
Highpoint,NC,2021-01-06 07:20:23
