,description.year_built,description.baths_full,description.baths_3qtr,description.baths_half,description.baths_1qtr,description.lot_sqft,description.sqft,description.garage,description.beds,description.stories,location.address.coordinate.lon,location.address.coordinate.lat,list_price
549,1961.0,1.0,,1.0,,21780.0,1505.0,,3.0,1.0,-78.909572,35.958407,225000
550,1976.0,3.0,,,,22172.0,2974.0,2.0,5.0,1.0,-78.94349,35.958657,397500
551,2020.0,2.0,,1.0,,6534.0,2080.0,,3.0,2.0,-78.905205,36.013594,745000
554,2020.0,4.0,,,,5227.0,3241.0,2.0,5.0,2.0,-78.95571,35.880464,650000
555,2006.0,5.0,,1.0,,25657.0,7778.0,2.0,8.0,2.0,-78.926015,35.890103,875000
557,,3.0,,,,,2422.0,2.0,4.0,2.0,-78.79317,35.95988,386290
558,,3.0,,,,,2422.0,2.0,4.0,2.0,-78.79229,35.96041,388290
559,,3.0,,,,,2529.0,2.0,3.0,2.0,-78.79219,35.96048,387340
560,,3.0,,,,,2671.0,2.0,4.0,2.0,-78.79124,35.96041,388335
561,,3.0,,,,,2529.0,2.0,3.0,2.0,-78.79069,35.96077,385340
563,1947.0,3.0,,,,64033.0,1579.0,,3.0,1.0,-78.895649,36.053839,235000
564,1993.0,4.0,,,,51793.0,4150.0,3.0,5.0,3.0,-78.870238,36.121784,490000
565,2021.0,2.0,,1.0,,12589.0,2437.0,,3.0,2.0,-78.916253,35.993264,550000
566,2020.0,3.0,,1.0,,4792.0,2412.0,2.0,4.0,2.0,-78.956091,35.879937,545000
567,1975.0,2.0,,,,21344.0,1564.0,,3.0,1.0,-78.938598,36.097347,294900
570,1920.0,2.0,,,,,1258.0,,3.0,2.0,-78.919731,35.995289,120000
573,1994.0,3.0,,1.0,,13939.0,3590.0,2.0,5.0,2.0,-78.927916,35.88418,525000
574,2019.0,2.0,,1.0,,22041.0,1881.0,,4.0,2.0,-78.928114,35.958652,389000
575,2019.0,2.0,,1.0,,8973.0,2524.0,3.0,3.0,1.0,-78.786656,35.94297,499000
576,2021.0,3.0,,1.0,,12632.0,2561.0,,4.0,2.0,-78.931603,36.025232,665424
577,2007.0,2.0,,,,12720.0,2203.0,2.0,3.0,1.0,-78.987051,35.979599,439000
578,1968.0,3.0,,,,94612.0,3534.0,2.0,4.0,,-78.888662,36.083829,439900
579,2020.0,2.0,,1.0,,5097.0,2219.0,2.0,3.0,2.0,-78.918533,36.01558,789000
580,1937.0,1.0,,,,5009.0,700.0,,2.0,2.0,-78.920399,35.98799,150000
581,1962.0,1.0,,1.0,,26572.0,2384.0,,3.0,1.0,-78.981755,36.044503,290000
582,,2.0,,1.0,,,1957.0,1.0,3.0,2.0,-78.789216,35.973911,299265
583,1940.0,2.0,,,,12894.0,1115.0,,3.0,1.0,-78.88798,35.995635,1100000
585,1940.0,2.0,,,,4095.0,1140.0,,3.0,1.0,-78.887668,35.995574,1100000
586,1940.0,2.0,,,,4704.0,1140.0,,3.0,1.0,-78.88753,35.995558,1100000
587,1925.0,2.0,,,,7492.0,1370.0,,3.0,1.0,-78.889042,35.993353,399000
588,2020.0,3.0,,,,6970.0,2427.0,1.0,4.0,2.0,-78.911717,36.016346,649900
589,2020.0,2.0,,,,8494.0,1790.0,,3.0,1.0,-78.886922,35.993944,449900
591,2019.0,2.0,,,,7013.0,1678.0,2.0,2.0,1.0,-78.775759,35.932268,419900
592,,3.0,,,,,2427.0,2.0,4.0,2.0,-78.47379,35.57323,378490
593,,3.0,,,,,2427.0,2.0,4.0,2.0,-78.47379,35.57323,387790
594,,3.0,,,,,2422.0,2.0,4.0,2.0,-78.79034,35.96043,383790
595,,3.0,,,,,2427.0,2.0,4.0,2.0,-78.47379,35.57323,388790
596,,3.0,,,,,2388.0,2.0,3.0,2.0,-78.47379,35.57323,378140
597,,3.0,,,,,2388.0,2.0,3.0,2.0,-78.47379,35.57323,373340
598,,3.0,,,,,2529.0,2.0,3.0,2.0,-78.47379,35.57323,383840
599,,3.0,,,,,2529.0,2.0,4.0,2.0,-78.79074,35.96016,380340
600,,3.0,,,,,2529.0,2.0,3.0,2.0,-78.7916,35.9603,382840
601,,3.0,,,,,2388.0,2.0,3.0,2.0,-78.7916,35.9603,375840
602,,3.0,,,,,2422.0,2.0,4.0,2.0,-78.79061,35.96024,384290
603,,3.0,,,,,2671.0,2.0,4.0,2.0,-78.7916,35.9603,388665
604,,3.0,,,,,2671.0,2.0,4.0,2.0,-78.7916,35.9602,391340
605,,3.0,,,,,2529.0,2.0,4.0,2.0,-78.79017,35.96053,383340
606,,3.0,,,,,2529.0,2.0,3.0,2.0,-78.7916,35.9602,381540
607,,3.0,,,,,2529.0,2.0,3.0,2.0,-78.47379,35.57323,377040
608,,3.0,,,,,2529.0,2.0,4.0,2.0,-78.7905,35.96036,382340
609,1955.0,1.0,,1.0,,8843.0,1437.0,1.0,3.0,1.0,-78.89916,36.013452,398000
611,2002.0,3.0,,1.0,,22869.0,2884.0,2.0,4.0,3.0,-78.967904,35.943895,500000
612,2020.0,2.0,,1.0,,6534.0,2517.0,1.0,3.0,2.0,-78.889183,36.004036,750000
613,1959.0,1.0,,,,11587.0,1275.0,,3.0,1.0,-78.92622,36.025762,240000
616,,3.0,,1.0,,,2638.0,2.0,4.0,,-78.980338,35.97251,550000
617,,,,,,6970.0,7013.0,,1.0,,-78.899418,36.009712,450000
