,description.year_built,description.baths_full,description.baths_3qtr,description.baths_half,description.baths_1qtr,description.lot_sqft,description.sqft,description.garage,description.beds,description.stories,location.address.coordinate.lon,location.address.coordinate.lat,list_price
862,,2.0,,,,1608.0,1608.0,2.0,2.0,1.0,-78.824651,35.900136,305900
863,,3.0,,1.0,,2425.0,2425.0,2.0,3.0,1.0,-78.824651,35.900136,433900
864,,2.0,,,,1660.0,1660.0,2.0,2.0,1.0,-78.824651,35.900136,355900
865,,2.0,,,,1904.0,1904.0,2.0,2.0,1.0,-78.824651,35.900136,367900
866,,2.0,,1.0,,2131.0,2131.0,2.0,2.0,1.0,-78.824651,35.900136,416900
868,1935.0,2.0,,1.0,,5009.0,1980.0,,3.0,2.0,-78.881513,35.985773,354400
869,,2.0,,,,1760.0,1760.0,2.0,2.0,1.0,-78.824651,35.900136,357900
870,,2.0,,,,1320.0,1320.0,2.0,2.0,1.0,-78.824651,35.900136,288900
873,2016.0,1.0,,,,1031675.0,727.0,,1.0,1.0,-79.024751,36.022929,2570000
883,1910.0,1.0,,,,329401.0,1200.0,,2.0,1.0,-78.810671,35.962455,425000
888,2003.0,5.0,,2.0,,25700.0,5072.0,3.0,6.0,2.0,-78.95615,35.863319,840000
892,2020.0,4.0,,1.0,,21344.0,3930.0,3.0,4.0,2.0,-78.958618,36.074889,925000
894,2019.0,4.0,,1.0,,22651.0,4811.0,3.0,4.0,2.0,-78.958647,36.074615,1070000
917,2004.0,4.0,,2.0,,274515.0,7163.0,3.0,4.0,2.0,-78.927609,35.854146,2500000
919,1930.0,2.0,,,,7971.0,1566.0,,3.0,1.0,-78.888187,36.028832,327750
923,2020.0,2.0,,1.0,,4400.0,1838.0,,3.0,2.0,-78.912422,36.011746,580000
929,1936.0,4.0,,3.0,,135907.0,9085.0,3.0,5.0,3.0,-78.950811,35.950569,2900000
931,2020.0,3.0,,1.0,,10019.0,3199.0,2.0,4.0,2.0,-78.86117,36.125702,424999
932,1959.0,1.0,,,,7579.0,884.0,,3.0,1.0,-78.90486,35.985504,180000
