,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_feature_selection,param_regressor,param_regressor__depth,param_regressor__iterations,param_regressor__learning_rate,param_regressor__loss_function,param_scaler,param_regressor__kernel,param_regressor__C,param_regressor__alpha,param_regressor__l1_ratio,param_regressor__n_neighbors,param_regressor__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,3.8092257976531982,0.4190832746105231,0.576124906539917,0.17265142346407406,passthrough,<catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>,4,500,0.1,RMSE,PowerTransformer(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>, 'regressor__depth': 4, 'regressor__iterations': 500, 'regressor__learning_rate': 0.1, 'regressor__loss_function': 'RMSE', 'scaler': PowerTransformer()}",0.8102826209801377,0.7733371533242155,0.7179572472572224,0.7979967793431597,0.8740850350852114,0.7947317671979894,0.05079662763803555,200
11,3.5899783611297607,0.46063182230364336,0.7235567092895507,0.22353246664110268,passthrough,<catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>,4,500,0.1,RMSE,QuantileTransformer(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>, 'regressor__depth': 4, 'regressor__iterations': 500, 'regressor__learning_rate': 0.1, 'regressor__loss_function': 'RMSE', 'scaler': QuantileTransformer()}",0.8297165402027189,0.7693972432735949,0.7184148758312605,0.7900598296572312,0.8761297421223083,0.7967436462174227,0.05351123132347055,169
12,7.379999876022339,2.030422651574931,0.34147396087646487,0.1889056469633046,passthrough,<catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>,4,1000,0.01,RMSE,RobustScaler(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>, 'regressor__depth': 4, 'regressor__iterations': 1000, 'regressor__learning_rate': 0.01, 'regressor__loss_function': 'RMSE', 'scaler': RobustScaler()}",0.7416350512837547,0.7028535132286524,0.6964286086031848,0.7330292846939402,0.798014027011917,0.7343920969642899,0.03616068677482996,383
13,7.973528337478638,1.5339844560353768,0.3142679691314697,0.14728720999311534,passthrough,<catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>,4,1000,0.01,RMSE,StandardScaler(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>, 'regressor__depth': 4, 'regressor__iterations': 1000, 'regressor__learning_rate': 0.01, 'regressor__loss_function': 'RMSE', 'scaler': StandardScaler()}",0.7415790096076118,0.7027899957950121,0.6960235051083203,0.7330306229002355,0.798055520990591,0.7342957308803542,0.03626935921941554,384
14,8.364813423156738,1.5162858402855233,0.3568772792816162,0.11260045449787244,passthrough,<catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>,4,1000,0.01,RMSE,PowerTransformer(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>, 'regressor__depth': 4, 'regressor__iterations': 1000, 'regressor__learning_rate': 0.01, 'regressor__loss_function': 'RMSE', 'scaler': PowerTransformer()}",0.7308825844609872,0.7300240348834943,0.6866594943123158,0.7326323349395605,0.7988967124894071,0.735819032217153,0.03595430284578279,381
15,8.074350357055664,1.4017967704951242,0.36447901725769044,0.16895856943709534,passthrough,<catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>,4,1000,0.01,RMSE,QuantileTransformer(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>, 'regressor__depth': 4, 'regressor__iterations': 1000, 'regressor__learning_rate': 0.01, 'regressor__loss_function': 'RMSE', 'scaler': QuantileTransformer()}",0.7416551322011131,0.702992823972423,0.6961457295798206,0.7329906954265955,0.7988412455442259,0.7345251253448356,0.03648840593825737,382
16,8.84251708984375,0.45149462071438945,0.24685349464416503,0.14866375655496233,passthrough,<catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>,4,1000,0.05,RMSE,RobustScaler(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>, 'regressor__depth': 4, 'regressor__iterations': 1000, 'regressor__learning_rate': 0.05, 'regressor__loss_function': 'RMSE', 'scaler': RobustScaler()}",0.8134301534797277,0.7804034902509602,0.7138617626637975,0.7814010887376164,0.8828220040409541,0.7943836998346112,0.054830425612041905,204
17,8.812310409545898,0.7165425624790399,0.5509195327758789,0.13458245198428626,passthrough,<catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>,4,1000,0.05,RMSE,StandardScaler(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>, 'regressor__depth': 4, 'regressor__iterations': 1000, 'regressor__learning_rate': 0.05, 'regressor__loss_function': 'RMSE', 'scaler': StandardScaler()}",0.8135602551726612,0.7802670502440121,0.7134471917472842,0.7814010887376164,0.8828572342425304,0.7943065640288208,0.05497967468715943,207
18,9.058163785934449,0.6245583927749216,0.6881491661071777,0.10916580063430692,passthrough,<catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>,4,1000,0.05,RMSE,PowerTransformer(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>, 'regressor__depth': 4, 'regressor__iterations': 1000, 'regressor__learning_rate': 0.05, 'regressor__loss_function': 'RMSE', 'scaler': PowerTransformer()}",0.8177554919855206,0.7406703274927864,0.6997030318063131,0.7843450708924831,0.8800575895156363,0.7845063023385478,0.06220734759270742,268
19,8.188775253295898,1.1246117853754625,0.4929064750671387,0.2286114705561705,passthrough,<catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>,4,1000,0.05,RMSE,QuantileTransformer(),,,,,,,"{'feature_selection': 'passthrough', 'regressor': <catboost.core.CatBoostRegressor object at 0x00000200EFC603C8>, 'regressor__depth': 4, 'regressor__iterations': 1000, 'regressor__learning_rate': 0.05, 'regressor__loss_function': 'RMSE', 'scaler': QuantileTransformer()}",0.8130134715928907,0.7772571579702919,0.7127830412917554,0.7812848337254014,0.8839217996560016,0.7936520608472681,0.05565074921608314,213
