,list_price,description.year_built,description.baths_full,description.baths_3qtr,description.baths_half,description.baths_1qtr,description.lot_sqft,description.sqft,description.garage,description.beds
234,119000,1930.0,2.0,,,,6534.0,1220.0,,3.0
235,299000,1978.0,3.0,,,,29839.0,1941.0,1.0,4.0
236,295000,2012.0,2.0,,1.0,,3485.0,1920.0,2.0,3.0
237,425000,2012.0,2.0,,1.0,,13504.0,2823.0,2.0,4.0
238,250000,1945.0,1.0,,,,7623.0,1003.0,,2.0
239,379900,2016.0,3.0,,,,7013.0,2914.0,2.0,4.0
240,318900,,2.0,,1.0,,2350.0,2350.0,2.0,3.0
241,301900,,2.0,,,,1913.0,1913.0,2.0,3.0
242,506900,2007.0,4.0,,1.0,,7405.0,4140.0,2.0,5.0
243,429900,1900.0,2.0,,1.0,,6752.0,1840.0,,3.0
244,249900,1998.0,2.0,,,,5227.0,1105.0,1.0,3.0
245,327900,1987.0,2.0,,1.0,,22216.0,2178.0,,3.0
246,457000,2000.0,3.0,,,,175982.0,3514.0,2.0,4.0
247,239900,1954.0,1.0,,,,15987.0,1287.0,,3.0
248,340000,2005.0,3.0,,1.0,,7405.0,2506.0,2.0,5.0
250,950000,2006.0,4.0,,1.0,,46174.0,4848.0,3.0,4.0
251,292900,,2.0,,,,1756.0,1756.0,2.0,2.0
252,334900,,3.0,,,,1913.0,1913.0,2.0,3.0
253,429000,2021.0,2.0,,1.0,,3180.0,2241.0,2.0,3.0
254,450100,2021.0,3.0,,1.0,,3180.0,2285.0,2.0,4.0
255,1500000,1905.0,2.0,,1.0,,21780.0,4200.0,2.0,4.0
256,442000,2021.0,3.0,,1.0,,3180.0,2301.0,2.0,4.0
257,279999,1964.0,2.0,,,,20038.0,1913.0,,4.0
258,313900,,2.0,,1.0,,2260.0,2260.0,2.0,3.0
259,662840,,4.0,,1.0,,,3720.0,2.0,4.0
260,662840,,4.0,,1.0,,2606.0,2606.0,2.0,4.0
261,669000,2009.0,2.0,,1.0,,1960.0,4072.0,2.0,3.0
263,90000,1925.0,1.0,,,,5140.0,984.0,,2.0
265,288900,,2.0,,,,1655.0,1655.0,2.0,2.0
266,229900,1943.0,2.0,,,,7449.0,1538.0,,3.0
271,435301,2020.0,2.0,,,,5663.0,1692.0,2.0,2.0
272,517000,2019.0,2.0,,1.0,,5532.0,1930.0,2.0,3.0
274,405000,2007.0,2.0,,1.0,,8276.0,2744.0,2.0,3.0
276,270000,2005.0,2.0,,1.0,,7405.0,2875.0,2.0,5.0
277,375000,1990.0,2.0,,1.0,,10106.0,2064.0,2.0,4.0
278,1249000,1972.0,3.0,,1.0,,59372.0,3960.0,,5.0
279,365000,1968.0,2.0,,,,36155.0,2179.0,,3.0
282,200000,1949.0,2.0,,,,7405.0,728.0,,2.0
285,300000,2002.0,2.0,,1.0,,20691.0,2120.0,2.0,4.0
286,375000,1946.0,2.0,,,,8799.0,2250.0,,3.0
289,245000,1976.0,1.0,,1.0,,15246.0,1522.0,,3.0
290,439900,2020.0,2.0,,1.0,,5663.0,1850.0,,3.0
292,235000,1982.0,1.0,,,,13939.0,1066.0,,2.0
294,345000,1995.0,2.0,,1.0,,18295.0,2444.0,2.0,4.0
295,379990,2010.0,3.0,,1.0,,8712.0,3250.0,2.0,5.0
296,358500,2000.0,2.0,,,,11674.0,2893.0,2.0,3.0
298,255000,1952.0,1.0,,1.0,,7405.0,1286.0,,3.0
299,320000,2012.0,2.0,,1.0,,8276.0,2424.0,2.0,4.0
300,383340,2020.0,3.0,,,,6534.0,2529.0,2.0,3.0
301,387340,2021.0,3.0,,,,6534.0,2529.0,2.0,3.0
302,388335,2020.0,3.0,,,,9583.0,2671.0,2.0,4.0
303,385340,2021.0,3.0,,,,6534.0,2529.0,2.0,3.0
304,386290,2021.0,3.0,,,,6534.0,2422.0,2.0,4.0
305,391790,2020.0,3.0,,,,6098.0,2422.0,2.0,4.0
306,562954,2020.0,3.0,,1.0,,6970.0,2923.0,2.0,3.0
307,400000,2017.0,2.0,,1.0,,4356.0,2177.0,2.0,3.0
308,2600000,2009.0,5.0,,3.0,,268025.0,7783.0,4.0,5.0
309,322900,1992.0,2.0,,1.0,,10890.0,2465.0,2.0,3.0
310,559000,2020.0,2.0,,1.0,,6055.0,2448.0,,3.0
311,449900,2011.0,3.0,,1.0,,26833.0,2820.0,2.0,5.0
313,335000,2006.0,2.0,,1.0,,12023.0,2377.0,2.0,3.0
314,223000,1956.0,1.0,,,,36155.0,1696.0,,3.0
315,897900,2005.0,3.0,,1.0,,7405.0,3065.0,2.0,4.0
317,260000,1968.0,2.0,,,,24829.0,1979.0,2.0,3.0
318,750000,1997.0,3.0,,1.0,,32322.0,3368.0,4.0,4.0
319,435301,,2.0,,,,,1692.0,2.0,2.0
320,562954,,3.0,,1.0,,,2923.0,2.0,3.0
321,362205,,2.0,,,,,1470.0,2.0,2.0
323,350000,1998.0,2.0,,1.0,,8276.0,2311.0,2.0,4.0
324,750000,2020.0,3.0,,1.0,,7057.0,2467.0,,4.0
325,350000,1943.0,1.0,,,,329444.0,1334.0,,2.0
326,355000,2014.0,2.0,,1.0,,8581.0,2478.0,2.0,4.0
327,282900,,2.0,,1.0,,1732.0,1732.0,1.0,3.0
328,298900,,2.0,,1.0,,1957.0,1957.0,1.0,3.0
329,281900,,2.0,,1.0,,1957.0,1957.0,1.0,3.0
330,249900,,2.0,,1.0,,1445.0,1445.0,1.0,2.0
331,299900,,2.0,,1.0,,1678.0,1678.0,1.0,3.0
332,279900,,2.0,,1.0,,1678.0,1678.0,1.0,3.0
333,264900,,2.0,,1.0,,1732.0,1732.0,1.0,3.0
334,287900,,2.0,,1.0,,1817.0,1817.0,1.0,3.0
335,271900,,2.0,,1.0,,1817.0,1817.0,1.0,3.0
336,269900,,2.0,,1.0,,1799.0,1799.0,1.0,2.0
337,175000,1955.0,1.0,,,,26136.0,1332.0,2.0,2.0
340,650000,1965.0,2.0,,1.0,,23740.0,2808.0,2.0,3.0
341,140000,1960.0,1.0,,,,8451.0,942.0,,3.0
343,244900,2004.0,2.0,,1.0,,5227.0,2267.0,,3.0
344,275000,1983.0,2.0,,,,12023.0,1477.0,,4.0
345,269000,2000.0,2.0,,1.0,,7841.0,1792.0,2.0,3.0
346,525000,2001.0,2.0,,1.0,,83200.0,3142.0,2.0,4.0
347,365000,1930.0,2.0,,,,8015.0,2046.0,,3.0
348,239900,2007.0,2.0,,1.0,,436.0,1608.0,1.0,3.0
349,226000,1962.0,1.0,,,,15246.0,1028.0,,3.0
350,349000,1984.0,2.0,,,,21693.0,2100.0,,3.0
351,149900,1950.0,1.0,,,,15812.0,801.0,,2.0
353,245000,2002.0,2.0,,1.0,,12632.0,2079.0,2.0,4.0
354,229000,1944.0,2.0,,,,7144.0,1200.0,,2.0
355,314900,2005.0,2.0,,1.0,,6578.0,2524.0,2.0,4.0
356,412000,2013.0,2.0,,1.0,,11761.0,3353.0,3.0,5.0
357,209000,1997.0,2.0,,,,19166.0,1327.0,,3.0
358,255000,2007.0,2.0,,1.0,,7405.0,1281.0,1.0,3.0
362,318000,1968.0,2.0,,,,29098.0,1638.0,,3.0
365,240000,1988.0,2.0,,1.0,,22303.0,1830.0,1.0,4.0
367,300000,2011.0,2.0,,1.0,,5227.0,2116.0,2.0,4.0
369,340000,2020.0,3.0,,,,4792.0,1772.0,,4.0
371,250000,2016.0,2.0,,,,15028.0,1181.0,,3.0
372,260000,1971.0,2.0,,,,14375.0,1386.0,,3.0
373,299900,2013.0,2.0,,1.0,,7667.0,2457.0,2.0,3.0
374,275000,1999.0,2.0,,,,14593.0,1440.0,2.0,3.0
375,389000,1924.0,2.0,,,,12110.0,1409.0,,3.0
376,339000,1978.0,2.0,,,,20952.0,1650.0,,3.0
377,393000,2016.0,3.0,,,,4792.0,1781.0,2.0,3.0
378,139900,1950.0,1.0,,,,4835.0,863.0,,2.0
380,399000,1950.0,2.0,,,,31929.0,2464.0,2.0,5.0
381,674900,1910.0,2.0,,1.0,,20909.0,3210.0,,5.0
382,264990,,2.0,,1.0,,1680.0,1680.0,2.0,4.0
383,274990,,2.0,,1.0,,1903.0,1903.0,2.0,4.0
384,284990,,2.0,,1.0,,2203.0,2203.0,2.0,4.0
385,254990,,2.0,,,,1296.0,1296.0,2.0,3.0
388,349900,2016.0,2.0,,1.0,,6534.0,2436.0,2.0,4.0
389,349900,1991.0,3.0,,,,23522.0,2444.0,2.0,4.0
390,229900,1990.0,2.0,,,,18426.0,1375.0,,3.0
391,355900,1997.0,2.0,,1.0,,17076.0,2410.0,2.0,4.0
392,189000,1960.0,1.0,,,,16553.0,1135.0,,2.0
395,218000,1998.0,2.0,,,,4792.0,1214.0,,3.0
396,427730,2020.0,2.0,,1.0,,6490.0,2082.0,2.0,3.0
397,525000,1989.0,2.0,,1.0,,76012.0,4550.0,2.0,3.0
399,665000,1983.0,3.0,,1.0,,17468.0,3590.0,2.0,4.0
401,129800,1940.0,1.0,,,,45302.0,712.0,,2.0
402,369900,1950.0,2.0,,,,311498.0,2575.0,,3.0
403,195000,1960.0,1.0,,,,11238.0,1019.0,,3.0
406,729000,2007.0,4.0,,1.0,,16074.0,4101.0,2.0,5.0
408,262000,2002.0,2.0,,1.0,,8189.0,1747.0,2.0,4.0
410,624800,2013.0,3.0,,1.0,,15725.0,3588.0,3.0,4.0
412,575000,2017.0,2.0,,,,8146.0,2603.0,2.0,3.0
415,875000,2017.0,3.0,,2.0,,9583.0,3892.0,2.0,4.0
419,300000,1995.0,3.0,,1.0,,20038.0,2526.0,2.0,4.0
424,450000,1933.0,2.0,,1.0,,46174.0,3213.0,,6.0
426,215000,1977.0,1.0,,1.0,,54450.0,1045.0,1.0,2.0
427,124000,1956.0,1.0,,,,4443.0,676.0,,2.0
428,318900,1993.0,2.0,,1.0,,9453.0,1996.0,2.0,3.0
429,212900,2002.0,2.0,,1.0,,4008.0,1600.0,,3.0
434,392790,,3.0,,,,,1916.0,2.0,3.0
435,435030,,3.0,,,,,2160.0,2.0,2.0
436,294000,2020.0,2.0,,1.0,,4792.0,1486.0,,3.0
437,414900,2017.0,3.0,,1.0,,8712.0,2437.0,2.0,4.0
438,668400,2020.0,4.0,,,,7841.0,2968.0,2.0,5.0
439,383790,2021.0,3.0,,,,6534.0,2422.0,2.0,4.0
440,1795000,1984.0,4.0,,1.0,,20038.0,4567.0,2.0,4.0
441,388290,2021.0,3.0,,,,6970.0,2422.0,2.0,4.0
442,295000,1985.0,2.0,,1.0,,7449.0,1514.0,,3.0
444,210000,1938.0,2.0,,,,6055.0,1173.0,,3.0
446,349500,1965.0,2.0,,2.0,,32409.0,2715.0,,3.0
447,498490,,2.0,,1.0,,3519.0,3519.0,2.0,4.0
448,459900,2017.0,3.0,,1.0,,9148.0,3501.0,2.0,5.0
449,279800,2002.0,2.0,,1.0,,42689.0,1518.0,1.0,3.0
451,229900,1947.0,1.0,,,,10237.0,1520.0,,3.0
452,400000,1996.0,3.0,,1.0,,17206.0,2466.0,2.0,4.0
453,428900,1921.0,2.0,,,,6839.0,1311.0,,2.0
456,269900,1986.0,2.0,,1.0,,19994.0,1583.0,,3.0
457,279900,1960.0,2.0,,,,39640.0,1958.0,3.0,3.0
458,264800,1978.0,2.0,,1.0,,20473.0,1873.0,,3.0
461,214900,1989.0,2.0,,,,10890.0,1195.0,,3.0
462,461490,,2.0,,1.0,,2638.0,2638.0,2.0,4.0
464,260000,2008.0,2.0,,1.0,,10890.0,2961.0,2.0,4.0
465,460000,2015.0,2.0,,1.0,,8625.0,2376.0,2.0,3.0
466,295000,1970.0,1.0,,1.0,,13504.0,1782.0,1.0,3.0
468,325000,1957.0,2.0,,,,41382.0,1956.0,,4.0
469,210600,1952.0,1.0,,,,42253.0,1840.0,2.0,3.0
474,815000,2020.0,3.0,,,,6403.0,2581.0,1.0,4.0
475,325000,2020.0,2.0,,,,29621.0,1911.0,2.0,3.0
477,925000,2006.0,5.0,,1.0,,13504.0,5179.0,2.0,5.0
478,392790,2021.0,2.0,,1.0,,4792.0,1916.0,2.0,3.0
479,399000,1929.0,1.0,,,,11413.0,1288.0,,2.0
480,245000,2004.0,2.0,,1.0,,5663.0,1849.0,2.0,3.0
481,675000,2018.0,2.0,,1.0,,6621.0,2197.0,,3.0
483,295000,1984.0,2.0,,1.0,,13939.0,1752.0,,3.0
484,539900,2020.0,3.0,,1.0,,7100.0,2725.0,2.0,3.0
485,349900,1995.0,2.0,,1.0,,7405.0,2233.0,2.0,4.0
488,275000,1949.0,2.0,,,,7754.0,1590.0,,4.0
489,232900,2014.0,2.0,,1.0,,5663.0,1745.0,2.0,3.0
490,983900,2002.0,4.0,,2.0,,47916.0,4823.0,3.0,5.0
491,339900,2015.0,3.0,,,,8233.0,2627.0,2.0,5.0
492,325000,1984.0,2.0,,,,14810.0,1775.0,,4.0
493,679900,2019.0,5.0,,,,6011.0,3881.0,2.0,5.0
494,459800,1974.0,2.0,,1.0,,12023.0,2087.0,,4.0
497,1150000,2018.0,4.0,,1.0,,40032.0,4300.0,3.0,4.0
498,185000,1920.0,1.0,,,,11761.0,871.0,,2.0
500,388665,2020.0,3.0,,,,6098.0,2671.0,2.0,4.0
502,390965,2020.0,3.0,,,,7841.0,2671.0,2.0,4.0
505,174900,1995.0,2.0,,,,9975.0,1252.0,,3.0
507,225000,1968.0,2.0,,,,15420.0,1385.0,2.0,3.0
509,949000,2007.0,4.0,,2.0,,409638.0,4490.0,3.0,4.0
510,199900,1940.0,1.0,,,,16596.0,972.0,,2.0
511,350000,1991.0,2.0,,1.0,,19166.0,2384.0,2.0,4.0
512,459000,2017.0,3.0,,,,5750.0,2411.0,2.0,3.0
513,372000,2017.0,2.0,,,,4792.0,1517.0,2.0,2.0
514,1125000,2006.0,5.0,,1.0,,23958.0,5789.0,3.0,6.0
518,367000,1964.0,2.0,,1.0,,33541.0,1961.0,2.0,3.0
522,675000,1997.0,4.0,,,,17685.0,3326.0,2.0,5.0
524,2200000,1966.0,4.0,,2.0,,89734.0,6064.0,2.0,5.0
525,274000,1964.0,1.0,,1.0,,19602.0,1483.0,,3.0
526,295000,1980.0,2.0,,1.0,,23958.0,2239.0,1.0,4.0
527,350000,1930.0,2.0,,1.0,,8712.0,1511.0,,3.0
528,235000,2002.0,2.0,,1.0,,7579.0,1532.0,,3.0
530,329900,2006.0,2.0,,1.0,,7841.0,2737.0,2.0,4.0
531,254900,2006.0,2.0,,1.0,,5663.0,1714.0,2.0,3.0
532,425000,2015.0,2.0,,1.0,,7405.0,1756.0,2.0,2.0
533,299000,1945.0,4.0,,,,7449.0,1676.0,,5.0
535,225000,1961.0,1.0,,1.0,,21780.0,1505.0,,3.0
536,397500,1976.0,3.0,,,,22172.0,2974.0,2.0,5.0
537,745000,2020.0,2.0,,1.0,,6534.0,2080.0,,3.0
540,650000,2020.0,4.0,,,,5227.0,3241.0,2.0,5.0
541,875000,2006.0,5.0,,1.0,,25657.0,7778.0,2.0,8.0
543,386290,,3.0,,,,,2422.0,2.0,4.0
544,388290,,3.0,,,,,2422.0,2.0,4.0
545,387340,,3.0,,,,,2529.0,2.0,3.0
546,391790,,3.0,,,,,2422.0,2.0,4.0
547,388335,,3.0,,,,,2671.0,2.0,4.0
548,385340,,3.0,,,,,2529.0,2.0,3.0
550,235000,1947.0,3.0,,,,64033.0,1579.0,,3.0
551,490000,1993.0,4.0,,,,51793.0,4150.0,3.0,5.0
552,550000,2021.0,2.0,,1.0,,12589.0,2437.0,,3.0
553,545000,2020.0,3.0,,1.0,,4792.0,2412.0,2.0,4.0
554,294900,1975.0,2.0,,,,21344.0,1564.0,,3.0
557,120000,1920.0,2.0,,,,,1258.0,,3.0
560,525000,1994.0,3.0,,1.0,,13939.0,3590.0,2.0,5.0
561,240000,2007.0,2.0,,1.0,,10019.0,1512.0,1.0,2.0
562,389000,2019.0,2.0,,1.0,,22041.0,1881.0,,4.0
563,499000,2019.0,2.0,,1.0,,8973.0,2524.0,3.0,3.0
564,665424,2021.0,3.0,,1.0,,12632.0,2561.0,,4.0
565,355000,1974.0,2.0,,,,31363.0,1993.0,,3.0
566,324900,1967.0,2.0,,1.0,,19994.0,2000.0,,3.0
567,439000,2007.0,2.0,,,,12720.0,2203.0,2.0,3.0
568,439900,1968.0,3.0,,,,94612.0,3534.0,2.0,4.0
569,789000,2020.0,2.0,,1.0,,5097.0,2219.0,2.0,3.0
570,380000,1931.0,2.0,,,,5227.0,1656.0,,3.0
571,312000,1980.0,2.0,,1.0,,20038.0,2074.0,1.0,3.0
572,274900,1992.0,2.0,,1.0,,7841.0,1490.0,1.0,3.0
573,150000,1937.0,1.0,,,,5009.0,700.0,,2.0
574,290000,1962.0,1.0,,1.0,,26572.0,2384.0,,3.0
575,299265,,2.0,,1.0,,,1957.0,1.0,3.0
576,1100000,1940.0,2.0,,,,12894.0,1115.0,,3.0
578,1100000,1940.0,2.0,,,,4095.0,1140.0,,3.0
579,1100000,1940.0,2.0,,,,4704.0,1140.0,,3.0
580,399000,1925.0,2.0,,,,7492.0,1370.0,,3.0
581,649900,2020.0,3.0,,,,6970.0,2427.0,1.0,4.0
582,449900,2020.0,2.0,,,,8494.0,1790.0,,3.0
583,75000,1940.0,1.0,,,,36373.0,888.0,,2.0
586,419900,2019.0,2.0,,,,7013.0,1678.0,2.0,2.0
587,378490,,3.0,,,,,2427.0,2.0,4.0
