,list_price,description.year_built,description.baths_full,description.baths_3qtr,description.baths_half,description.baths_1qtr,description.lot_sqft,description.sqft,description.garage,description.beds
716,299900,1985.0,3.0,,,,30536.0,3226.0,2.0,4.0
717,302967,2020.0,2.0,,1.0,,18295.0,1397.0,,3.0
719,517647,2020.0,2.0,,1.0,,6970.0,2114.0,3.0,2.0
720,545000,1925.0,3.0,,1.0,,7579.0,2869.0,,4.0
721,169900,1987.0,2.0,,,,8712.0,1579.0,,3.0
723,302435,,2.0,,1.0,,,1957.0,1.0,3.0
724,491530,2020.0,2.0,,1.0,,6970.0,2150.0,2.0,2.0
725,384241,2020.0,2.0,,,,6970.0,1700.0,2.0,3.0
728,299900,1926.0,2.0,,,,11761.0,1447.0,1.0,3.0
731,200000,1955.0,1.0,,,,7710.0,825.0,,3.0
732,350000,2007.0,2.0,,1.0,,9235.0,2285.0,2.0,4.0
733,395000,1988.0,2.0,,1.0,,14244.0,2677.0,2.0,3.0
736,229000,1969.0,2.0,,,,9148.0,1600.0,,3.0
738,400000,1995.0,3.0,,1.0,,11500.0,2973.0,2.0,4.0
739,840000,2004.0,5.0,,,,38681.0,6386.0,3.0,6.0
745,275000,1955.0,2.0,,,,7449.0,1473.0,,2.0
754,325000,1972.0,3.0,,,,20038.0,2600.0,,3.0
756,572155,2020.0,2.0,,,,6403.0,2970.0,2.0,2.0
757,553500,2020.0,2.0,,,,6839.0,2035.0,2.0,2.0
760,3850000,2011.0,7.0,,2.0,,283140.0,9582.0,3.0,5.0
761,565000,2021.0,2.0,,1.0,,5227.0,2248.0,2.0,3.0
762,825000,2019.0,2.0,,1.0,,2178.0,2675.0,2.0,3.0
764,599900,2021.0,2.0,,1.0,,24829.0,2627.0,2.0,4.0
765,428430,2020.0,2.0,,1.0,,6142.0,2118.0,2.0,3.0
766,434590,2020.0,3.0,,,,5750.0,2460.0,2.0,3.0
767,329900,2020.0,2.0,,,,5663.0,1659.0,,3.0
768,400000,2015.0,2.0,,1.0,,5227.0,1898.0,,3.0
770,235000,2020.0,2.0,,,,16117.0,1416.0,2.0,3.0
771,275000,1959.0,2.0,,,,48787.0,1527.0,2.0,3.0
775,4200000,2008.0,6.0,,2.0,,134731.0,11409.0,4.0,5.0
776,799000,1920.0,2.0,,,,11238.0,2710.0,,4.0
777,381540,2020.0,3.0,,,,6098.0,2529.0,2.0,3.0
778,377040,2020.0,3.0,,,,8276.0,2529.0,2.0,3.0
779,382840,2020.0,3.0,,,,6970.0,2529.0,2.0,3.0
780,389900,2021.0,2.0,,1.0,,18295.0,2808.0,2.0,4.0
781,388790,2020.0,3.0,,,,6534.0,2422.0,2.0,4.0
782,386790,2020.0,3.0,,,,6534.0,2422.0,2.0,4.0
783,377490,2020.0,3.0,,,,6534.0,2422.0,2.0,4.0
784,373340,2020.0,3.0,,,,6970.0,2388.0,2.0,3.0
785,383840,2020.0,3.0,,,,6098.0,2529.0,2.0,3.0
